"id_film";"url";"titre";"date_sortie";"duree";"genre";"nationalite";"type_film";"reprise";"couleur";"recompenses";"note_presse";"note_spectateurs"
"190372";"http://www.allocine.fr/film/fichefilm_gen_cfilm=190372.html";"Le Paradis des bêtes";"2012-03-14";"103";"Comédie dramatique";"français";"Long-métrage";FALSE;"Couleur";"1 prix et 2 nominations";"3,4";"3,5"
"193028";"http://www.allocine.fr/film/fichefilm_gen_cfilm=193028.html";"Nouveau Souffle";"2012-03-14";"93";"Drame";"autrichien";"Long-métrage";FALSE;"Couleur";"6 prix et 11 nominations";"3,5";"3,8"
"195497";"http://www.allocine.fr/film/fichefilm_gen_cfilm=195497.html";"Alois Nebel";"2012-03-14";"85";"Animation";"allemand";"Long-métrage";FALSE;"N&B";"1 prix et 2 nominations";"3,6";"3,2"
"180581";"http://www.allocine.fr/film/fichefilm_gen_cfilm=180581.html";"Bi, n'aie pas peur !";"2012-03-14";"90";"Drame";"français";"Long-métrage";FALSE;"Couleur";"3 prix et 4 nominations";"3,4";"3,2"
"10415";"http://www.allocine.fr/film/fichefilm_gen_cfilm=10415.html";"Artemisia Gentileschi";"2012-03-10";"98";"Autres";"italien";"Long-métrage";TRUE;"Couleur";"4 nominations";NA;"3,2"
"185346";"http://www.allocine.fr/film/fichefilm_gen_cfilm=185346.html";"Le Fossé";"2012-03-14";"113";"Drame";"français";"Long-métrage";FALSE;"Couleur";"2 nominations";"3,8";"3,4"
"203934";"http://www.allocine.fr/film/fichefilm_gen_cfilm=203934.html";"Les Mauvais jours finiront, 40 ans de justice en France";"2012-03-14";"126";"Documentaire";"français";"Long-métrage";FALSE;"Couleur";NA;NA;NA
"189188";"http://www.allocine.fr/film/fichefilm_gen_cfilm=189188.html";"Les Adieux à la reine";"2012-03-21";"100";"Autres";"français";"Long-métrage";FALSE;"Couleur";"5 prix et 26 nominations";"4,3";"2,8"
"194620";"http://www.allocine.fr/film/fichefilm_gen_cfilm=194620.html";"L'Oncle Charles";"2012-03-21";"98";"Comédie";"français";"Long-métrage";FALSE;"Couleur";NA;"1,4";"1,6"
"179626";"http://www.allocine.fr/film/fichefilm_gen_cfilm=179626.html";"Eva";"2012-03-21";"94";"Drame";"français";"Long-métrage";FALSE;"Couleur";"3 prix et 8 nominations";"3,3";"3,7"
"134859";"http://www.allocine.fr/film/fichefilm_gen_cfilm=134859.html";"Bye Bye Blondie";"2012-03-21";"97";"Drame";"suisse";"Long-métrage";FALSE;"Couleur";"1 prix et 2 nominations";"2,2";"2,7"
"145069";"http://www.allocine.fr/film/fichefilm_gen_cfilm=145069.html";"Torpédo";"2012-03-21";"89";"Comédie";"français";"Long-métrage";FALSE;"Couleur";"5 nominations";"3,1";"3,3"
"201443";"http://www.allocine.fr/film/fichefilm_gen_cfilm=201443.html";"30 Beats";"2012-03-21";"88";"Comédie";"français";"Long-métrage";FALSE;"Couleur";NA;"1,9";"3,1"
"200435";"http://www.allocine.fr/film/fichefilm_gen_cfilm=200435.html";"Hénaut Président";"2012-03-21";"100";"Comédie";"français";"Long-métrage";FALSE;"Couleur";NA;"2,7";"3,1"
"140497";"http://www.allocine.fr/film/fichefilm_gen_cfilm=140497.html";"Aurora";"2012-03-21";"181";"Drame";"français";"Long-métrage";FALSE;"Couleur";"3 nominations";"3,1";"2,5"
"193546";"http://www.allocine.fr/film/fichefilm_gen_cfilm=193546.html";"Y'a pire ailleurs";"2012-03-21";"92";"Documentaire";"français";"Long-métrage";FALSE;"Couleur";NA;"2,3";"3,0"
"202920";"http://www.allocine.fr/film/fichefilm_gen_cfilm=202920.html";"Mains Brunes sur la ville";"2012-03-21";"90";"Documentaire";"français";"Long-métrage";FALSE;"Couleur";NA;"2,7";"3,2"
"204249";"http://www.allocine.fr/film/fichefilm_gen_cfilm=204249.html";"Sotchi 255";"2012-03-21";"115";"Drame";"français";"Long-métrage";FALSE;"Couleur";NA;"3,3";"2,8"
"185557";"http://www.allocine.fr/film/fichefilm_gen_cfilm=185557.html";"Ulysse clandestin ou les dérives identitaires";"2012-03-21";"93";"Documentaire";"français";"Long-métrage";FALSE;"Couleur";NA;NA;NA
"203530";"http://www.allocine.fr/film/fichefilm_gen_cfilm=203530.html";"I, Superbiker";"2012-03-23";"100";"Documentaire";"britannique";"Long-métrage";FALSE;"Couleur";NA;NA;NA
"129372";"http://www.allocine.fr/film/fichefilm_gen_cfilm=129372.html";"Mince alors !";"2012-03-28";"101";"Comédie";"français";"Long-métrage";FALSE;"Couleur";"2 nominations";"2,5";"3,1"
"178188";"http://www.allocine.fr/film/fichefilm_gen_cfilm=178188.html";"2 Days In New York";"2012-03-28";"95";"Comédie";"français";"Long-métrage";FALSE;"Couleur";"1 nomination";"3,4";"3,0"
